batch_id,batch_name,quantity,storage_location,barcode,status,product_owner,product_owner_email,approved_by,approval_status,submission_date,maturity_date,completion_date,updated_at,test_id
2fd17c70-426f-11f0-a0b4-e4a8dfe455c6,Sample B,100,Warehouse 1,,Pending,Shirlyn,shirlynhuey@gmail.com,Jane Smith,Approved,2025-06-06 00:00:00,2025-08-05 00:00:00,,2025-06-06 00:00:00,2fd17c9e-426f-11f0-a0b4-e4a8dfe455c6
2fd30fa2-426f-11f0-a0b4-e4a8dfe455c6,Sample B,50,Warehouse 2,,In Progress,Mika,pineapplesummer4s26@example.com,Bob Tan,Pending,2025-06-06 00:00:00,2025-06-16 00:00:00,,2025-06-06 00:00:00,2fd30fbf-426f-11f0-a0b4-e4a8dfe455c6
3772bbc7-4275-11f0-a0b4-e4a8dfe455c6,Batch A ,100,Warehouse A,,Pending,Carol Owner,carol.owner@example.com,Eve Admin,Approved,2025-06-06 09:00:00,2025-08-05 09:00:00,,2025-06-06 09:00:00,3772bc21-4275-11f0-a0b4-e4a8dfe455c6
377357ac-4275-11f0-a0b4-e4a8dfe455c6,Batch B ,50,Warehouse B,,In Progress,David Owner,david.owner@example.com,Frank Admin,Pending,2025-06-06 10:00:00,2025-06-16 10:00:00,,2025-06-06 10:00:00,377357cb-4275-11f0-a0b4-e4a8dfe455c6
44ceb367-4275-11f0-a0b4-e4a8dfe455c6,Batch A6,100,Warehouse A,,Pending,Carol Owner,carol.owner@example.com,Eve Admin,Approved,2025-06-06 09:00:00,2025-08-05 09:00:00,,2025-06-06 09:00:00,44ceb388-4275-11f0-a0b4-e4a8dfe455c6
44cedad2-4275-11f0-a0b4-e4a8dfe455c6,Batch B1,50,Warehouse B,,In Progress,David Owner,david.owner@example.com,Frank Admin,Pending,2025-06-06 10:00:00,2025-06-16 10:00:00,,2025-06-06 10:00:00,44cedae2-4275-11f0-a0b4-e4a8dfe455c6
4ce7f7c4-4275-11f0-a0b4-e4a8dfe455c6,BatchA60,100,Warehouse A,,Pending,Carol Owner,carol.owner@example.com,Eve Admin,Approved,2025-06-06 09:00:00,2025-08-05 09:00:00,,2025-06-06 09:00:00,4ce7f7f0-4275-11f0-a0b4-e4a8dfe455c6
4ce89bfa-4275-11f0-a0b4-e4a8dfe455c6,BatchB10,50,Warehouse B,,In Progress,David Owner,david.owner@example.com,Frank Admin,Pending,2025-06-06 10:00:00,2025-06-16 10:00:00,,2025-06-06 10:00:00,4ce89c0f-4275-11f0-a0b4-e4a8dfe455c6
521c1d0c-426f-11f0-a0b4-e4a8dfe455c6,Sample B,100,Warehouse 1,,Pending,Shirlyn,shirlynhuey@gmail.com,Admin 1,Approved,2025-06-06 00:00:00,2025-08-05 00:00:00,,2025-06-06 00:00:00,521c1d3c-426f-11f0-a0b4-e4a8dfe455c6
521daad0-426f-11f0-a0b4-e4a8dfe455c6,Sample B,50,Warehouse 2,,In Progress,Mika,pineapplesummer4s26@gmail.com,Admin 1,Pending,2025-06-06 00:00:00,2025-06-16 00:00:00,,2025-06-06 00:00:00,521daaea-426f-11f0-a0b4-e4a8dfe455c6
7751083e-426f-11f0-a0b4-e4a8dfe455c6,Batch111,100,Warehouse 1,,Pending,Shirlyn,shirlynhuey@gmail.com,Admin 1,Approved,2025-06-06 00:00:00,2025-08-05 00:00:00,,2025-06-06 00:00:00,7751086b-426f-11f0-a0b4-e4a8dfe455c6
77529b56-426f-11f0-a0b4-e4a8dfe455c6,Batch112,50,Warehouse 2,,In Progress,Mika,pineapplesummer4s26@gmail.com,Admin 1,Pending,2025-06-06 00:00:00,2025-06-16 00:00:00,,2025-06-06 00:00:00,77529b72-426f-11f0-a0b4-e4a8dfe455c6
b86685f3-4276-11f0-a0b4-e4a8dfe455c6,BatchA60,100,Warehouse A,,Pending,Carol Owner,carol.owner@gmail.com,Eve Admin,Approved,2025-06-06 09:00:00,2025-08-05 00:00:00,,2025-06-06 09:00:00,b8668622-4276-11f0-a0b4-e4a8dfe455c6
b866abe8-4276-11f0-a0b4-e4a8dfe455c6,BatchB60,50,Warehouse B,,In Progress,David Owner,david.owner@gmail.com,Frank Admin,Pending,2025-06-06 10:00:00,2025-06-16 00:00:00,,2025-06-06 10:00:00,b866abff-4276-11f0-a0b4-e4a8dfe455c6
d565f8e0-4277-11f0-a0b4-e4a8dfe455c6,BatchS11,100,Warehouse 1,,Pending,Shirlyn,shirlynhuey@gmail.com,Admin 1,Approved,2025-06-06 00:00:00,2025-08-05 00:00:00,,2025-06-06 00:00:00,d565f910-4277-11f0-a0b4-e4a8dfe455c6
d5662fc1-4277-11f0-a0b4-e4a8dfe455c6,BatchS20,50,Warehouse 2,barcodes\d5662fc1-4277-11f0-a0b4-e4a8dfe455c6_barcode.png,In Progress,Mika,pineapplesummer4s26@gmail.com,Admin 1,Pending,2025-06-06 00:00:00,2025-06-16 00:00:00,,2025-06-09 21:25:34,d5662fdb-4277-11f0-a0b4-e4a8dfe455c6
